lambda,RMSE,MSE,Type
0,1.082,1.170724,Experienced
0.05,1.06,1.1236,Experienced
0.1,1.04,1.0816,Experienced
0.15,1.021,1.042441,Experienced
0.2,1.005,1.010025,Experienced
0.25,0.989,0.978121,Experienced
0.3,0.976,0.952576,Experienced
0.35,0.963,0.927369,Experienced
0.4,0.952,0.906304,Experienced
0.45,0.943,0.889249,Experienced
0.5,0.934,0.872356,Experienced
0.55,0.927,0.859329,Experienced
0.6,0.921,0.848241,Experienced
0.65,0.917,0.840889,Experienced
0.7,0.914,0.835396,Experienced
0.75,0.913,0.833569,Experienced
0.8,0.914,0.835396,Experienced
0.85,0.918,0.842724,Experienced
0.9,0.926,0.857476,Experienced
0.95,0.939,0.881721,Experienced
1,0.96,0.9216,Experienced
